fold,mse,mae,vol_forecast_mean
1,1.2194526571358793e-05,0.0022604299818474306,0.0038863356377525442
2,1.0453698469427793e-05,0.0023394449752350897,0.0037201460412519577
3,1.3351168744006472e-05,0.002408800271826605,0.008041959603919915
4,8.996212042822587e-06,0.002053514061257987,0.0035615972708968207
5,2.365499315414858e-05,0.0034175371732276037,0.003463774061837537
